FID,Id,ORIG_FID,x,y,elevation,basin
121,0,3,1393534.984890000000000,1139068.311180000000000,4296.2001953,15372
122,0,3,1393390.453930000100000,1138983.675929999900000,4292.9599609,15372
123,0,3,1393268.058340000000000,1138809.197110000100000,4282.5800781,15372
124,0,3,1393171.704369999900000,1138685.499450000000000,4262.0498047,15372
125,0,3,1393113.110739999900000,1138636.020379999900000,4257.1499023,15372
126,0,3,1393080.558720000100000,1138608.676680000000000,4254.7299805,15289
127,0,3,1392938.631920000100000,1138633.416220000000000,4233.2500000,15289
128,0,3,1392805.819680000000000,1138607.374600000000000,4201.6899414,15289
129,0,3,1392654.778320000000000,1138514.926870000100000,4177.9199219,15289
130,0,3,1392498.528630000100000,1138423.781220000000000,4147.3598633,15289
131,0,3,1392361.810150000000000,1138311.802279999900000,4119.7597656,15289
132,0,3,1392266.758260000000000,1138210.239980000100000,4105.7597656,15289
133,0,3,1394936.023760000000000,1137522.741350000000000,4016.0400391,15372
134,0,3,1394844.878109999900000,1137565.710020000100000,4019.7099609,15372
135,0,3,1394637.847270000000000,1137570.918340000100000,4046.2199707,15372
136,0,3,1394492.014230000100000,1137553.991290000000000,4056.0200195,15372
137,0,3,1394235.504320000100000,1137535.762159999900000,4088.8601074,15372
138,0,3,1394048.004699999900000,1137531.855920000000000,4101.4902344,15372
139,0,3,1393870.921720000000000,1137535.762159999900000,4126.0400391,15577
140,0,3,1393747.224050000100000,1137639.928619999900000,4146.7001953,15372
141,0,3,1393646.963830000000000,1137754.511720000100000,4170.7900391,15372
142,0,3,1393581.859800000000000,1137936.803030000100000,4193.0097656,15372
143,0,3,1393459.464209999900000,1138073.521500000000000,4225.3198242,15372
144,0,3,1393304.516600000000000,1138234.979510000000000,4239.9501953,15372
145,0,3,1393247.225050000000000,1138335.239730000000000,4243.0297852,15372
146,0,3,1393184.725180000100000,1138460.239480000000000,4246.5200195,15372
147,0,3,1393135.246109999900000,1138565.708020000000000,4253.3901367,15372
148,0,3,1393141.756510000000000,1138637.322459999900000,4258.0698242,15372
149,0,3,1393157.381480000000000,1138727.166030000000000,4265.5297852,15372
150,0,3,1393154.777320000100000,1138814.405439999900000,4277.6401367,15289
151,0,3,1393140.454429999900000,1138904.249009999900000,4282.2700195,15289
152,0,3,1393154.777320000100000,1139001.905060000000000,4281.7700195,15289
153,0,3,1393153.475240000100000,1139086.540310000100000,4280.2998047,15289
154,0,3,1393081.860799999900000,1139178.988040000000000,4264.8100586,15289
155,0,3,1393029.777569999900000,1139225.862950000000000,4248.9799805,15289
156,0,0,1377162.560020000000000,1132501.207669999900000,3475.5000000,15683
157,0,0,1377383.913750000100000,1132528.551359999900000,3491.8000488,15683
158,0,0,1377646.934050000000000,1132558.499220000100000,3514.3898926,15683
159,0,0,1377723.756820000000000,1132583.238750000000000,3514.0900879,15683
160,0,0,1377860.475290000000000,1132571.520030000000000,3524.4899902,15683
161,0,0,1378054.485320000000000,1132653.551109999900000,3548.1899414,15683
162,0,0,1378200.318359999900000,1132618.394930000000000,3568.2600098,15683
163,0,0,1378322.713950000000000,1132558.499220000100000,3599.8798828,15683
164,0,0,1378396.932550000000000,1132475.166050000100000,3623.9899902,15683
165,0,0,1378472.453230000100000,1132574.124189999900000,3614.4199219,15683
166,0,0,1378577.921769999900000,1132549.384649999900000,3648.0000000,15683
167,0,0,1378747.192270000000000,1132283.760180000000000,3711.9599609,15683
168,0,0,1378902.638460000000000,1132292.578079999900000,3737.5000000,15683
169,0,0,1378942.785949999900000,1132248.090320000000000,3748.6999512,15683
170,0,0,1378883.107249999900000,1132135.243330000000000,3760.7299805,15683
